Date,Open,High,Low,Close,Volume,Adj Close
12/30/2016,224.729996,224.830002,222.729996,223.529999,101301800,223.529999
12/29/2016,224.479996,224.889999,223.839996,224.350006,47719500,224.350006
12/28/2016,226.570007,226.589996,224.270004,224.399994,59776300,224.399994
12/27/2016,226.020004,226.729996,226,226.270004,41054400,226.270004
12/23/2016,225.429993,225.720001,225.210007,225.710007,36251400,225.710007
12/22/2016,225.600006,225.740005,224.919998,225.380005,56219100,225.380005
12/21/2016,226.25,226.449997,225.770004,225.770004,67909000,225.770004
12/20/2016,226.149994,226.570007,225.880005,226.399994,89838800,226.399994
12/19/2016,225.25,226.020004,225.080002,225.529999,90341100,225.529999
12/16/2016,226.009995,226.080002,224.669998,225.039993,156420200,225.039993
12/15/2016,226.160004,227.809998,225.889999,226.809998,124972600,225.480992
12/14/2016,227.410004,228.229996,225.369995,225.880005,142501800,224.556449
12/13/2016,227.020004,228.339996,227,227.759995,110477500,226.425423
12/12/2016,226.399994,226.960007,225.759995,226.25,102016100,224.924276
12/9/2016,225.410004,226.529999,225.369995,226.509995,88005800,225.182747
12/8/2016,224.570007,225.699997,224.259995,225.149994,99714400,223.830715
12/7/2016,221.520004,224.669998,221.380005,224.600006,110738100,223.28395
12/6/2016,221.220001,221.740005,220.660004,221.699997,59877400,220.400934
12/5/2016,220.649994,221.399994,220.419998,221,67837800,219.705039
12/2/2016,219.669998,220.25,219.259995,219.679993,74840300,218.392766
12/1/2016,220.729996,220.729996,219.149994,219.570007,79040500,218.283425
11/30/2016,221.630005,221.820007,220.309998,220.380005,113291800,219.088676
11/29/2016,220.520004,221.440002,220.169998,220.910004,69886700,219.61557
11/28/2016,221.160004,221.479996,220.360001,220.479996,76572500,219.188081
11/25/2016,221.100006,221.559998,221.009995,221.520004,37872300,220.221996
11/23/2016,219.979996,220.759995,219.75,220.699997,56620200,219.406793
11/22/2016,220.509995,220.789993,219.729996,220.580002,67429000,219.287501
11/21/2016,219.169998,220.179993,219,220.149994,72402600,218.860013
11/18/2016,219.070007,219.270004,218.289993,218.5,86265800,217.219687
11/17/2016,218.050003,219.059998,217.919998,218.990005,69797200,217.706822
11/16/2016,217.559998,218.139999,217.419998,217.869995,65617700,216.593374
11/15/2016,217.039993,218.279999,216.800003,218.279999,91652600,217.000975
11/14/2016,217.029999,217.270004,215.720001,216.589996,94580000,215.320876
11/11/2016,216.080002,216.699997,215.320007,216.419998,100552700,215.151874
11/10/2016,217.300003,218.309998,215.220001,216.919998,172113300,215.648944
11/9/2016,212.369995,217.100006,212.339996,216.380005,258429000,215.112115
11/8/2016,212.690002,214.770004,212.380005,214.110001,106772100,212.855412
11/7/2016,208.550003,213.190002,208.550003,213.149994,109794900,211.90103
11/4/2016,208.910004,209.889999,208.380005,208.550003,109122100,207.327993
11/3/2016,209.990005,210.240005,208.460007,208.779999,88939300,207.556641
11/2/2016,210.649994,211.100006,209.229996,209.740005,103330800,208.511023
11/1/2016,212.929993,212.990005,209.600006,211.009995,122781800,209.77357
10/31/2016,212.929993,213.190002,212.360001,212.550003,61272500,211.304555
10/28/2016,213.139999,213.929993,211.710007,212.539993,140623200,211.294604
10/27/2016,214.580002,214.619995,213.080002,213.169998,77220200,211.920917
10/26/2016,213.210007,214.419998,212.929993,213.740005,75705500,212.487584
10/25/2016,214.679993,214.979996,213.979996,214.169998,66542300,212.915058
10/24/2016,215,215.320007,214.479996,214.889999,60146600,213.63084
10/21/2016,213.880005,214.080002,212.759995,213.979996,89089100,212.726168
10/20/2016,213.869995,214.529999,213.110001,213.880005,73639800,212.626763
10/19/2016,214.020004,214.639999,213.600006,214.279999,66519200,213.024414
10/18/2016,214.240005,214.309998,213.270004,213.710007,76869700,212.457761
10/17/2016,213.089996,213.389999,212.169998,212.380005,58275700,211.135553
10/14/2016,214.149994,214.690002,213.029999,213.119995,93346200,211.871207
10/13/2016,212.160004,213.589996,211.210007,213.009995,101357000,211.761851
10/12/2016,213.589996,214.320007,213.009995,213.710007,73866100,212.457761
10/11/2016,215.660004,215.740005,212.580002,213.429993,130367400,212.179388
10/10/2016,216.160004,216.699997,215.990005,216.160004,51855000,214.893402
10/7/2016,216.100006,216.300003,214.190002,215.039993,89788300,213.779955
10/6/2016,215.369995,216.039993,214.740005,215.779999,62927400,214.515624
10/5/2016,215.410004,216.130005,215.330002,215.630005,72816000,214.366509
10/4/2016,215.910004,216.169998,213.990005,214.679993,119948100,213.422064
10/3/2016,215.820007,216.039993,215.039993,215.779999,83512100,214.515624
