'Date', 'todayprice', 'num_securities', 'Cash', 'Stockworth', 'Totalworth', 'Baseline Comparison'
'4/14/2000', 136.0, 70.0, 64.375, 9520.0, 9584.375, -6630.150620971208
'4/17/2000', 140.75, 70.0, 64.375, 9852.5, 9916.875, -6297.650620971208
'4/18/2000', 144.468704, 70.0, 64.375, 10112.80928, 10177.18428, -6037.341340971208
'4/19/2000', 143.125, 70.0, 64.375, 10018.75, 10083.125, -6131.400620971208
'4/20/2000', 143.8125, 70.0, 64.375, 10066.875, 10131.25, -6083.275620971208
'4/24/2000', 142.25, 70.0, 64.375, 9957.5, 10021.875, -6192.650620971208
'4/25/2000', 148.156204, 70.0, 64.375, 10370.93428, 10435.30928, -5779.216340971208
'4/26/2000', 146.484299, 70.0, 64.375, 10253.90093, 10318.27593, -5896.249690971208
'4/27/2000', 146.0, 70.0, 64.375, 10220.0, 10284.375, -5930.150620971208
'4/28/2000', 145.093704, 70.0, 64.375, 10156.55928, 10220.93428, -5993.591340971208
'5/1/2000', 147.0625, 70.0, 64.375, 10294.375, 10358.75, -5855.775620971208
'5/2/2000', 144.125, 70.0, 64.375, 10088.75, 10153.125, -6061.400620971208
'5/3/2000', 140.75, 70.0, 64.375, 9852.5, 9916.875, -6297.650620971208
'5/4/2000', 141.8125, 70.0, 64.375, 9926.875, 9991.25, -6223.275620971208
'5/5/2000', 143.531204, 70.0, 64.375, 10047.18428, 10111.55928, -6102.966340971208
'5/8/2000', 142.453094, 70.0, 64.375, 9971.71658, 10036.09158, -6178.434040971208
'5/9/2000', 141.3125, 70.0, 64.375, 9891.875, 9956.25, -6258.275620971208
'5/10/2000', 138.125, 70.0, 64.375, 9668.75, 9733.125, -6481.400620971208
'5/11/2000', 141.281204, 70.0, 64.375, 9889.68428, 9954.05928, -6260.466340971208
'5/12/2000', 142.8125, 70.0, 64.375, 9996.875, 10061.25, -6153.275620971208
'5/15/2000', 145.281204, 70.0, 64.375, 10169.68428, 10234.05928, -5980.466340971208
'5/16/2000', 146.6875, 70.0, 64.375, 10268.125, 10332.5, -5882.025620971208
'5/17/2000', 145.156204, 70.0, 64.375, 10160.93428, 10225.30928, -5989.216340971208
'5/18/2000', 143.375, 70.0, 64.375, 10036.25, 10100.625, -6113.900620971208
'5/19/2000', 141.125, 70.0, 64.375, 9878.75, 9943.125, -6271.400620971208
'5/22/2000', 140.0625, 70.0, 64.375, 9804.375, 9868.75, -6345.775620971208
'5/23/2000', 138.0, 70.0, 64.375, 9660.0, 9724.375, -6490.150620971208
'5/24/2000', 140.25, 70.0, 64.375, 9817.5, 9881.875, -6332.650620971208
'5/25/2000', 137.843704, 70.0, 64.375, 9649.05928, 9713.43428, -6501.091340971208
'5/26/2000', 138.0, 70.0, 64.375, 9660.0, 9724.375, -6490.150620971208
'5/30/2000', 142.5, 70.0, 64.375, 9975.0, 10039.375, -6175.150620971208
'5/31/2000', 142.8125, 70.0, 64.375, 9996.875, 10061.25, -6153.275620971208
'6/1/2000', 145.3125, 70.0, 64.375, 10171.875, 10236.25, -5978.275620971208
'6/2/2000', 147.843704, 70.0, 64.375, 10349.05928, 10413.43428, -5801.091340971208
'6/5/2000', 147.125, 70.0, 64.375, 10298.75, 10363.125, -5851.400620971208
'6/6/2000', 146.468704, 70.0, 64.375, 10252.80928, 10317.18428, -5897.341340971208
'6/7/2000', 147.484299, 70.0, 64.375, 10323.90093, 10388.27593, -5826.249690971208
'6/8/2000', 146.906204, 70.0, 64.375, 10283.43428, 10347.80928, -5866.716340971208
'6/9/2000', 146.593704, 70.0, 64.375, 10261.55928, 10325.93428, -5888.591340971208
'6/12/2000', 144.875, 70.0, 64.375, 10141.25, 10205.625, -6008.900620971208
'6/13/2000', 147.593704, 70.0, 64.375, 10331.55928, 10395.93428, -5818.591340971208
'6/14/2000', 147.843704, 70.0, 64.375, 10349.05928, 10413.43428, -5801.091340971208
'6/15/2000', 148.156204, 70.0, 64.375, 10370.93428, 10435.30928, -5779.216340971208
'6/16/2000', 146.593704, 70.0, 64.375, 10261.55928, 10325.93428, -5888.591340971208
'6/19/2000', 148.468704, 70.0, 64.375, 10392.80928, 10457.18428, -5757.341340971208
'6/20/2000', 147.9375, 70.0, 64.375, 10355.625, 10420.0, -5794.525620971208
'6/21/2000', 147.875, 70.0, 64.375, 10351.25, 10415.625, -5798.900620971208
'6/22/2000', 145.625, 70.0, 64.375, 10193.75, 10258.125, -5956.400620971208
'6/23/2000', 144.375, 70.0, 64.375, 10106.25, 10170.625, -6043.900620971208
'6/26/2000', 146.234299, 70.0, 64.375, 10236.40093, 10300.77593, -5913.749690971208
'6/27/2000', 145.156204, 70.0, 64.375, 10160.93428, 10225.30928, -5989.216340971208
'6/28/2000', 145.5625, 70.0, 64.375, 10189.375, 10253.75, -5960.775620971208
'6/29/2000', 144.1875, 70.0, 64.375, 10093.125, 10157.5, -6057.025620971208
'6/30/2000', 145.281204, 70.0, 64.375, 10169.68428, 10234.05928, -5980.466340971208
'7/3/2000', 147.281204, 70.0, 64.375, 10309.68428, 10374.05928, -5840.466340971208
'7/5/2000', 144.625, 70.0, 64.375, 10123.75, 10188.125, -6026.400620971208
'7/6/2000', 145.75, 70.0, 64.375, 10202.5, 10266.875, -5947.650620971208
'7/7/2000', 148.093704, 70.0, 64.375, 10366.55928, 10430.93428, -5783.591340971208
'7/10/2000', 147.843704, 70.0, 64.375, 10349.05928, 10413.43428, -5801.091340971208
'7/11/2000', 148.156204, 70.0, 64.375, 10370.93428, 10435.30928, -5779.216340971208
'7/12/2000', 149.125, 70.0, 64.375, 10438.75, 10503.125, -5711.400620971208
'7/13/2000', 149.781204, 70.0, 64.375, 10484.68428, 10549.05928, -5665.466340971208
'7/14/2000', 151.25, 70.0, 64.375, 10587.5, 10651.875, -5562.650620971208
'7/17/2000', 151.0, 70.0, 64.375, 10570.0, 10634.375, -5580.150620971208
'7/18/2000', 149.765594, 70.0, 64.375, 10483.59158, 10547.96658, -5666.559040971208
'7/19/2000', 148.5625, 70.0, 64.375, 10399.375, 10463.75, -5750.775620971208
'7/20/2000', 150.625, 70.0, 64.375, 10543.75, 10608.125, -5606.400620971208
'7/21/2000', 147.6875, 70.0, 64.375, 10338.125, 10402.5, -5812.025620971208
'7/24/2000', 146.843704, 70.0, 64.375, 10279.05928, 10343.43428, -5871.091340971208
'7/25/2000', 147.3125, 70.0, 64.375, 10311.875, 10376.25, -5838.275620971208
'7/26/2000', 145.875, 70.0, 64.375, 10211.25, 10275.625, -5938.900620971208
'7/27/2000', 145.375, 70.0, 64.375, 10176.25, 10240.625, -5973.900620971208
'7/28/2000', 142.093704, 70.0, 64.375, 9946.55928, 10010.93428, -6203.591340971208
'7/31/2000', 143.0, 70.0, 64.375, 10010.0, 10074.375, -6140.150620971208
'8/1/2000', 143.875, 70.0, 64.375, 10071.25, 10135.625, -6078.900620971208
'8/2/2000', 144.593704, 70.0, 64.375, 10121.55928, 10185.93428, -6028.591340971208
'8/3/2000', 145.593704, 70.0, 64.375, 10191.55928, 10255.93428, -5958.591340971208
'8/4/2000', 146.375, 70.0, 64.375, 10246.25, 10310.625, -5903.900620971208
'8/7/2000', 148.125, 70.0, 64.375, 10368.75, 10433.125, -5781.400620971208
'8/8/2000', 148.6875, 70.0, 64.375, 10408.125, 10472.5, -5742.025620971208
'8/9/2000', 147.4375, 70.0, 64.375, 10320.625, 10385.0, -5829.525620971208
